192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006983
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006818
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.011394
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.006970
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006936
192.168.0.116, 2015-10-29 19:57:36, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002616
192.168.0.116, 2015-10-29 19:57:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.002495
192.168.0.116, 2015-10-29 19:57:37, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.007217
192.168.0.116, 2015-10-29 19:57:37, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002618
192.168.0.116, 2015-10-29 19:57:37, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.011861
192.168.0.116, 2015-10-29 19:57:37, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.006746
192.168.0.116, 2015-10-29 19:57:45, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.374337
192.168.0.116, 2015-10-29 19:57:45, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002765
192.168.0.116, 2015-10-29 19:57:45, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002673
192.168.0.116, 2015-10-29 19:57:45, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.012110
192.168.0.116, 2015-10-29 19:57:46, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.333239
